ano,entidade,empenhado,liquidado,pago
2021,Prefeitura do Município de Londrina,1256167362.65,1117996764.32,1109741361.43
2021,Fundo Municipal de Saúde de Londrina,886797239.08,816753504.42,815171806.69
2021,Fundo de Previdência Social dos Servidores Municipais de Londrina,379347572.17,377618427.65,377550378.17
2021,Fundo de Urbanização de Londrina,104978892.24,96216118.51,94374701.11
2021,Fundo de Assistência à Saúde dos Servidores Municipais de Londrina,65134069.72,58521024.09,58468576.3
2021,Câmara Municipal de Londrina,33071677.89,32598127.39,32589775.81
2021,Administração dos Cemitérios e Serviços Funerários de Londrina - ACESF,15791204.4,14808941.57,14637301.37
2021,Caixa de Assist.Aposent. Pensões dos Servidores Municipais de Londrina,10019582.39,9610595.29,9608870.01
2021,Fundação de Esportes de Londrina,7957963.97,7455534.75,7768382.77
2021,Instituto de Desenvolvimento de Londrina - CODEL,7630596.64,6838828.5,6825611.59
2021,Instituto de Pesquisa e Planejamento Urbano de Londrina - IPPUL,5850286.29,5159195.27,5062643.6
2021,Autarquia Municipal de Saúde - AMS,28675.35,25667.22,25667.22
