codigo,especificacao,previsao,arrecadacao
17,TRANSFERÊNCIAS CORRENTES,1462398000.0,1564244823.8
11,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA",1288832000.0,1346282012.88
72,CONTRIBUIÇÕES - INTRAORÇAMENTÁRIA,378393000.0,360162576.63
12,CONTRIBUIÇÕES,169831000.0,185093708.54
13,RECEITA PATRIMONIAL,37984000.0,118658989.88
19,OUTRAS RECEITAS CORRENTES,53308000.0,80428078.29
21,OPERAÇÕES DE CRÉDITO,155200000.0,59539972.27
16,RECEITA DE SERVIÇOS,38368000.0,42801351.52
79,OUTRAS RECEITAS CORRENTES,29135000.0,38550039.24
24,TRANSFERÊNCIAS DE CAPITAL,4245000.0,24994203.19
76,RECEITA DE SERVIÇOS,10829000.0,12091363.85
73,RECEITA PATRIMONIAL,397000.0,825242.08
22,ALIENAÇÃO DE BENS,214000.0,261482.0
14,RECEITA AGROPECUÁRIA,0.0,0.0
23,AMORTIZAÇÃO DE EMPRÉSTIMOS,0.0,0.0
29,OUTRAS RECEITAS DE CAPITAL,0.0,0.0
15,RECEITA INDUSTRIAL,0.0,0.0
