ano,entidade,empenhado,liquidado,pago,pago_share
2023,Prefeitura do Município de Londrina,1829442044.11,1733893716.2,1712844191.81,0.4993837284732337
2023,Fundo Municipal de Saúde de Londrina,1028818998.02,982056763.33,976134968.66,0.2845944321575554
2023,Fundo de Previdência Social dos Servidores Municipais de Londrina,506699723.48,505757722.5,505764267.99,0.14745675472705153
2023,Fundo de Urbanização de Londrina,141668651.69,137010019.46,131916950.74,0.03846069538861398
2023,Câmara Municipal de Londrina,44456368.53,43244799.7,43128976.9,0.012574354043725592
2023,Administração dos Cemitérios e Serviços Funerários de Londrina - ACESF,17348451.49,16485301.6,16318202.25,0.00475761001528927
2023,Fundação de Esportes de Londrina,14501589.39,12426104.42,12660113.5,0.00369108568821047
2023,Caixa de Assist.Aposent. Pensões dos Servidores Municipais de Londrina,13767473.56,12877854.75,11878733.11,0.0034632724087657546
2023,Instituto de Desenvolvimento de Londrina - CODEL,16525439.75,11700009.85,11803493.51,0.0034413361274878117
2023,Instituto de Pesquisa e Planejamento Urbano de Londrina - IPPUL,7046399.42,6937708.87,6945115.77,0.0020248647392941493
2023,Fundo de Assistência à Saúde dos Servidores Municipais de Londrina,420947.53,354174.74,354823.2,0.00010344953347890929
2023,Autarquia Municipal de Saúde - AMS,180518.34,179076.34,166065.2,4.8416697293417585e-05
