tabela,exercicio,yoy_abs,valor,valor_ano_anterior
fato_despesa_empenhado,2019,0.1183345300475752,2374025965.81,2122822735.08
fato_despesa_empenhado,2022,0.10748833660556921,3070816108.52,2772775122.79
fato_despesa_empenhado,2023,0.17912518280200934,3620876605.31,3070816108.52
fato_despesa_empenhado,2024,0.12041075638717398,4056869096.14,3620876605.31
fato_despesa_empenhado,2025,0.38979622469569286,2475516838.38,4056869096.14
fato_despesa_liquidado,2019,0.1404547675055578,2281001880.04,2000080972.11
fato_despesa_liquidado,2022,0.14030329266595395,2900478567.09,2543602728.98
fato_despesa_liquidado,2023,0.19391444262051247,3462923251.76,2900478567.09
fato_despesa_liquidado,2024,0.14614220537887734,3969002492.83,3462923251.76
fato_despesa_liquidado,2025,0.3890324945119996,2424931552.32,3969002492.83
fato_despesa_pago,2019,0.16087754234400328,2291533499.05,1973966603.25
fato_despesa_pago,2022,0.12947488677963329,2859632841.14,2531825076.07
fato_despesa_pago,2023,0.19942527351611167,3429915902.64,2859632841.14
fato_despesa_pago,2024,0.1351561618794175,3893490171.61,3429915902.64
fato_despesa_pago,2025,0.4431375605056551,2168138435.11,3893490171.61
fato_receita_previsao,2021,0.21661216882178516,2739532000.0,2251771000.0
fato_receita_previsao,2023,0.21640888063008257,3629134000.0,2983482000.0
fato_receita_previsao,2025,0.1623844076205506,4590263000.0,3949006000.0
fato_receita_arrecadacao,2019,0.13808490268899207,2197650978.24,1931007935.39
fato_receita_arrecadacao,2020,0.13057536956109964,2484610066.89,2197650978.24
fato_receita_arrecadacao,2021,0.1733267586527356,2915259476.3,2484610066.89
fato_receita_arrecadacao,2022,0.1629256871648436,3390230129.74,2915259476.3
fato_receita_arrecadacao,2023,0.13087716687363296,3833933844.17,3390230129.74
fato_receita_arrecadacao,2024,0.14524984143552871,4390812127.11,3833933844.17
fato_receita_arrecadacao,2025,0.35474165413112385,2833208170.16,4390812127.11
