Exercício;Entidade;Empenhado;Estornado;Reversão;Líquido
2019;Administração dos Cemitérios e Serviços Funerários de Londrina - ACESF;"13.030.083,06";"217.332,19";"0,00";"12.812.750,87"
2019;Autarquia Municipal de Saúde - AMS;"55.511,94";"0,00";"0,00";"55.511,94"
2019;CAAPSML - Plano de Previdência Social - Fundo Previdenciário;"316.293.460,07";"1.831,22";"0,00";"316.291.628,85"
2019;Caixa de Assist.Aposent. Pensões dos Servidores Municipais de Londrina;"12.209.767,34";"83.899,59";"0,00";"12.125.867,75"
2019;Câmara Municipal de Londrina;"33.433.043,22";"306.535,84";"5.872,64";"33.132.380,02"
2019;Fundação de Esportes de Londrina;"10.829.015,88";"515.263,42";"1.071,91";"10.314.824,37"
2019;Fundo de Assistência à Saúde dos Servidores Municipais de Londrina;"71.707.390,81";"8.304.763,22";"276.166,56";"63.678.794,15"
2019;Fundo de Urbanização de Londrina;"108.855.746,84";"10.983.079,16";"12.248,52";"97.884.916,20"
2019;Fundo Municipal de Saúde de Londrina;"717.031.988,33";"20.640.738,47";"51.774,01";"696.443.023,87"
2019;Instituto de Desenvolvimento de Londrina - CODEL;"5.602.144,70";"54.234,33";"0,00";"5.547.910,37"
2019;Instituto de Pesquisa e Planejamento Urbano de Londrina - IPPUL;"4.895.427,77";"54.932,63";"6,40";"4.840.501,54"
2019;Prefeitura do Município de Londrina;"1.080.082.385,85";"40.830.255,64";"27.098,13";"1.039.279.228,34"
2019 total;;"2.374.025.965,81";"81.992.865,71";"374.238,17";"2.292.407.338,27"
