Exercício;Entidade;Pago - Orçamento;Estornado - Orçamento;Pago - Restos a pagar;Estornado - Restos a pagar;Líquido
2021;Administração dos Cemitérios e Serviços Funerários de Londrina - ACESF;"13.872.229,70";"86.649,94";"765.071,67";"102,36";"14.550.549,07"
2021;Autarquia Municipal de Saúde - AMS;"25.667,22";"0,00";"0,00";"0,00";"25.667,22"
2021;Caixa de Assist.Aposent. Pensões dos Servidores Municipais de Londrina;"9.332.457,96";"21.251,02";"276.412,05";"0,00";"9.587.618,99"
2021;Câmara Municipal de Londrina;"32.320.809,79";"53.009,33";"268.966,02";"0,00";"32.536.766,48"
2021;Fundação de Esportes de Londrina;"7.352.439,07";"314.670,89";"415.943,70";"36.180,58";"7.417.531,30"
2021;Fundo de Assistência à Saúde dos Servidores Municipais de Londrina;"50.487.394,19";"135.535,01";"7.981.182,11";"0,00";"58.333.041,29"
2021;Fundo de Previdência Social dos Servidores Municipais de Londrina;"377.550.378,17";"2.014.899,30";"0,00";"0,00";"375.535.478,87"
2021;Fundo de Urbanização de Londrina;"85.438.618,67";"677.173,20";"8.936.082,44";"100.050,56";"93.597.477,35"
2021;Fundo Municipal de Saúde de Londrina;"762.332.616,47";"1.342.691,29";"52.839.190,22";"23.360,70";"813.805.754,70"
2021;Instituto de Desenvolvimento de Londrina - CODEL;"6.793.030,97";"10.760,32";"32.580,62";"0,00";"6.814.851,27"
2021;Instituto de Pesquisa e Planejamento Urbano de Londrina - IPPUL;"5.028.434,27";"34.870,46";"34.209,33";"0,00";"5.027.773,14"
2021;Prefeitura do Município de Londrina;"1.044.655.279,17";"2.939.172,61";"65.086.082,26";"1.261.602,22";"1.105.540.586,60"
2021 total;;"2.395.189.355,65";"7.630.683,37";"136.635.720,42";"1.421.296,42";"2.522.773.096,28"
