ano;codigo;especificacao;subitem;previsao;arrecadacao;para_mais;para_menos
2018;11;IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA;;835.112.000,00;685.280.010,11;0,00;149.831.989,89
2018;11;;Renúncia;10.365.000,00;25.116.835,42;0,00;14.751.835,42
2018;11;;Restituições;0,00;0,00;0,00;0,00
2018;11;;Descontos Concedidos;10.475.000,00;13.022.178,35;0,00;2.547.178,35
2018;11;;Outras Deduções;71.000,00;0,00;71.000,00;0,00
2018;12;CONTRIBUIÇÕES;;38.226.000,00;50.158.211,57;11.932.211,57;0,00
2018;12;;Renúncia;0,00;0,00;0,00;0,00
2018;12;;Descontos Concedidos;4.000,00;0,00;4.000,00;0,00
2018;12;;Outras Deduções;3.000,00;0,00;3.000,00;0,00
2018;13;RECEITA PATRIMONIAL;;62.864.000,00;26.003.827,42;0,00;36.860.172,58
2018;14;RECEITA AGROPECUÁRIA;;0,00;0,00;0,00;0,00
2018;15;RECEITA INDUSTRIAL;;0,00;0,00;0,00;0,00
2018;16;RECEITA DE SERVIÇOS;;55.514.000,00;49.810.982,99;0,00;5.703.017,01
2018;17;TRANSFERÊNCIAS CORRENTES;;940.238.000,00;927.478.857,89;0,00;12.759.142,11
2018;17;;Deduções de Receita para a Formação do FUNDEB;77.618.000,00;77.000.260,78;617.739,22;0,00
2018;19;OUTRAS RECEITAS CORRENTES;;32.394.000,00;34.728.607,03;2.334.607,03;0,00
2018;19;;Renúncia;310.000,00;1.998,32;308.001,68;0,00
2018;19;;Descontos Concedidos;15.000,00;90.070,93;0,00;75.070,93
2018;19;;Outras Deduções;2.000,00;0,00;2.000,00;0,00
2018;21;OPERAÇÕES DE CRÉDITO;;100.770.000,00;1.847.810,58;0,00;98.922.189,42
2018;22;ALIENAÇÃO DE BENS;;1.148.000,00;957.100,00;0,00;190.900,00
2018;23;AMORTIZAÇÃO DE EMPRÉSTIMOS;;0,00;0,00;0,00;0,00
2018;24;TRANSFERÊNCIAS DE CAPITAL;;33.187.000,00;12.515.733,17;0,00;20.671.266,83
2018;29;OUTRAS RECEITAS DE CAPITAL;;0,00;0,00;0,00;0,00
2018;72;CONTRIBUIÇÕES - INTRAORÇAMENTÁRIA;;31.904.000,00;26.444.405,55;0,00;5.459.594,45
2018;76;RECEITA DE SERVIÇOS;;265.000,00;490.381,38;225.381,38;0,00
2018;79;OUTRAS RECEITAS CORRENTES;;213.000,00;60.663,90;0,00;152.336,10
2018;99;RECURSOS ARRECADADOS EM EXERCÍCIOS ANTERIORES;;0,00;0,00;0,00;0,00
