ano,codigo,especificacao,subitem,previsao,arrecadacao,para_mais,para_menos
2020,11,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA",,827605000.0,888597128.46,60992128.46,0.0
2020,11,,Renúncia,20494000.0,66540628.55,0.0,46046628.55
2020,11,,Restituições,0.0,0.0,0.0,0.0
2020,11,,Descontos Concedidos,18840000.0,20118540.54,0.0,1278540.54
2020,11,,Outras Deduções,11000.0,0.0,11000.0,0.0
2020,12,CONTRIBUIÇÕES,,40549000.0,40762726.02,213726.02,0.0
2020,12,,Renúncia,0.0,3794.81,0.0,3794.81
2020,12,,Descontos Concedidos,0.0,0.0,0.0,0.0
2020,12,,Outras Deduções,0.0,0.0,0.0,0.0
2020,13,RECEITA PATRIMONIAL,,34514000.0,64743805.83,30229805.83,0.0
2020,14,RECEITA AGROPECUÁRIA,,0.0,0.0,0.0,0.0
2020,15,RECEITA INDUSTRIAL,,0.0,0.0,0.0,0.0
2020,16,RECEITA DE SERVIÇOS,,61060000.0,59552070.32,0.0,1507929.68
2020,16,,Renúncia,0.0,889.04,0.0,889.04
2020,17,TRANSFERÊNCIAS CORRENTES,,1016606000.0,1145279470.15,128673470.15,0.0
2020,17,,Deduções de Receita para a Formação do FUNDEB,83641000.0,77624255.7,6016744.3,0.0
2020,19,OUTRAS RECEITAS CORRENTES,,38118000.0,43556145.6,5438145.6,0.0
2020,19,,Renúncia,0.0,2587544.89,0.0,2587544.89
2020,19,,Descontos Concedidos,0.0,59273.18,0.0,59273.18
2020,19,,Outras Deduções,0.0,0.0,0.0,0.0
2020,21,OPERAÇÕES DE CRÉDITO,,58000000.0,41948978.11,0.0,16051021.89
2020,22,ALIENAÇÃO DE BENS,,1104000.0,2620765.2,1516765.2,0.0
2020,23,AMORTIZAÇÃO DE EMPRÉSTIMOS,,0.0,0.0,0.0,0.0
2020,24,TRANSFERÊNCIAS DE CAPITAL,,23915000.0,21401881.53,0.0,2513118.47
2020,29,OUTRAS RECEITAS DE CAPITAL,,2000000.0,0.0,0.0,2000000.0
2020,72,CONTRIBUIÇÕES - INTRAORÇAMENTÁRIA,,24806000.0,6120264.18,0.0,18685735.82
2020,73,RECEITA PATRIMONIAL,,36000.0,37803.6,1803.6,0.0
2020,76,RECEITA DE SERVIÇOS,,361000.0,252711.42,0.0,108288.58
2020,79,OUTRAS RECEITAS CORRENTES,,111000.0,2801389.76,2690389.76,0.0
